node x y z
0 -3575.949074241185 6192.683888281611 7.448372370071977
1 -3239.816472756169 5071.278224350815 3862.9687280746934
2 -1875.065032620382 2339.777556128315 6492.023807048349
3 85.00630679594846 -1134.5859540867114 7059.907197732423
4 2018.088744430427 -4248.726440480478 5386.31993605702
5 3310.4422648419304 -6013.926302088191 2002.6141526015606
6 3551.753756633435 -5869.747055155628 -2016.9074745094558
7 2665.4085261866626 -3861.9645918619963 -5396.075229250946
8 932.814921552328 -628.0356579900417 -7062.027225550914
9 -1095.94082971959 2805.2901598058443 -6485.835475638435
10 -2776.7431111034057 5347.956173096464 -3850.436788934368
11 -6020.255669268152 3316.4521036017645 1973.4406809326983
12 -4267.903830941977 2030.7725767352374 5366.354501093915
13 -1160.5226818591889 100.3371055086349 7055.488684006837
14 2315.316218852459 -1861.95468776885 6504.555061448427
15 5056.058579321115 -3233.0890236228825 3888.471165870026
16 6191.538065258123 -3577.740438392078 37.825149752257566
17 5361.247962793149 -2786.4845430777464 -3824.8300841521213
18 2828.799512909298 -1110.5394936951911 -6473.128791296165
19 -601.7727949810047 917.993998238485 -7066.254844146147
20 -3841.286492388231 2655.070881967086 -5415.894911750619
21 -5861.218869695582 3549.1815205055364 -2046.0266117591098
22 -7150.996100971786 -0.520798098270374 7.449339276777903
23 -6011.763485952236 -270.12493459640865 3862.96949362543
24 -2963.838441233845 -453.96631297177083 6492.024128186166
25 1025.0843670945706 -493.67659455128694 7059.906972498333
26 4688.550131770488 -376.6480455129028 5386.319235961256
27 6863.434357321477 -140.03640329209122 2002.6131999195793
28 6859.226669132713 141.03580752401558 -2016.9083773078555
29 4677.262978474024 377.33014596264405 -5396.075795533651
30 1010.3013401108155 493.82482914554373 -7062.027275527167
31 -2977.423835289426 453.5336182742421 -6485.834993441129
32 -6019.837980456796 269.2486881162856 -3850.43592765774
33 -5882.259339927814 -3555.4686413067066 1973.4408525508536
34 -3892.6518305637755 -2680.727791674821 5366.354557141255
35 -667.1548691592686 -954.8748093036422 7055.488606688727
36 2770.159049312258 1074.1441781984427 6504.554875312821
37 5327.967042635677 2762.1299786626137 3888.4709300136637
38 6194.183145538466 3573.159027179235 37.82493905786713
39 5093.78986573951 3249.735331301701 -3824.8302027905593
40 2376.154294567599 1894.543629268497 -6473.128780211786
41 -1095.893476025559 -62.15228885183925 -7066.25470685816
42 -4220.002811193893 -1999.1152944088071 -5415.894691846993
43 -6004.291070923195 -3301.3733190646703 -2046.0263790576905
44 -3575.047025095381 -6193.204686161044 7.44873610443701
45 -2771.946165047619 -5341.4030454423 3862.9689313036843
46 -1088.771983232926 -2793.7436783460853 6492.023785248198
47 940.0796103629975 640.9095669754538 7059.906957824523
48 2670.4625699537887 3872.0785532328896 5386.319554210435
49 3552.992532171123 5873.889957638581 2002.6137500498826
50 3307.472469669735 6010.782803417218 -2016.9077699589127
51 2011.8532675319489 4239.2945792727105 -5396.075323795068
52 77.48486802867966 1121.8602796332684 -7062.027089172609
53 -1881.4844295917812 -2351.7567321037855 -6485.835151636852
54 -3243.0957147505674 -5078.707598116907 -3850.43638017772
55 137.99676262623083 -6871.920686923241 1973.4396281977029
56 375.2531786080773 -4711.500210731419 5366.353679755212
57 493.36936179411975 -1055.211707502083 7055.488354833663
58 454.84425859185944 2936.09905708952 6504.555328950938
59 271.90931706264246 5995.219116539799 3888.471945118065
60 2.645088585464262 7150.89946668276 37.826193340077694
61 -267.4589368282963 6036.21976199516 -3824.8291075562793
62 -452.646639573616 3005.082932764883 -6473.12819175458
63 -494.12223250263736 -980.1464947168687 -7066.254812009036
64 -378.7175079129319 -4654.186335510217 -5415.895457221288
65 -143.0726504509124 -6850.554899688288 -2046.0275616544754
